url,tool,audit_id,title,description,wcag,category,severity,impact,help_url,element,selector,failure_summary
"https://www.dlsu.edu.ph/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<p class=""text-regular-medium text-gray"">",".featured-news-content > .text-regular-medium.text-gray","Fix any of the following:
  Element has insufficient color contrast of 3.94 (foreground color: #808080, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.dlsu.edu.ph/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<p class=""text-regular-medium text-gray"">12 Min Read
                                            </p>",".card-stub.custom-card:nth-child(1) > .card-content > .text-regular-medium.text-gray","Fix any of the following:
  Element has insufficient color contrast of 3.94 (foreground color: #808080, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.dlsu.edu.ph/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<p class=""text-regular-medium text-gray"">15 Min Read
                                            </p>",".card-stub.custom-card:nth-child(2) > .card-content > .text-regular-medium.text-gray","Fix any of the following:
  Element has insufficient color contrast of 3.94 (foreground color: #808080, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.dlsu.edu.ph/","axe","color-contrast","Elements must meet minimum color contrast ratio thresholds","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Needs Manual Mapping","Visual Contrast","High","serious","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<p class=""text-regular-medium text-gray"">15 Min Read
                                            </p>",".card-stub.custom-card:nth-child(3) > .card-content > .text-regular-medium.text-gray","Fix any of the following:
  Element has insufficient color contrast of 3.94 (foreground color: #808080, background color: #ffffff, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.dlsu.edu.ph/","axe","heading-order","Heading levels should only increase by one","Ensures the order of headings is semantically correct","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/heading-order?application=axeAPI","<h4 class=""text-regular-bold white"">Research Stories</h4>",".text-regular-bold","Fix any of the following:
  Heading order invalid"
"https://www.dlsu.edu.ph/","axe","heading-order","Heading levels should only increase by one","Ensures the order of headings is semantically correct","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/heading-order?application=axeAPI","<h5 class=""heading-5 font-secondary"">Welcoming ID126 Scholars through Layag Lasalyano</h5>",".desktop > .bulletin-card.custom-card:nth-child(1) > .card-content > .text-content > h5","Fix any of the following:
  Heading order invalid"
"https://www.dlsu.edu.ph/","axe","heading-order","Heading levels should only increase by one","Ensures the order of headings is semantically correct","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/heading-order?application=axeAPI","<h4 class=""font-normal heading-4 font-secondary"">DLSU KIST Park holds open house, welcomes two industry giants</h4>",".featured-news-content > h4","Fix any of the following:
  Heading order invalid"
"https://www.dlsu.edu.ph/","axe","landmark-unique","Ensures landmarks are unique","Landmarks should have a unique role or role/label/title (i.e. accessible name) combination","Needs Manual Mapping","Other","Medium","moderate","https://dequeuniversity.com/rules/axe/4.9/landmark-unique?application=axeAPI","<nav class=""top-bar-content"">",".top-bar-content","Fix any of the following:
  The landmark must have a unique aria-label, aria-labelledby, or title to make landmarks distinguishable"
"https://www.dlsu.edu.ph/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""https://www.dlsu.edu.ph/"" class=""logo"">",".logo","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
"https://www.dlsu.edu.ph/","axe","link-name","Links must have discernible text","Ensures links have discernible text","Needs Manual Mapping","Other","High","serious","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a href=""#"" class=""btn menu-close-btn"">
                        <img src=""https://www.dlsu.edu.ph/wp-content/themes/dlsu/assets/images/icon/x-close.svg"" alt="""">
                    </a>",".menu-close-btn","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute"
